Team,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF
Cleveland,102.4,19.8,11.6,25.9,0.0,51.0,57.8,60.7,119.1,109.0
Boston,98.3,19.2,10.8,25.7,0.0,50.9,56.1,59.1,117.6,108.0
Oklahoma City,102.6,19.2,10.3,24.2,0.0,50.0,56.0,59.3,117.3,104.7
Denver,102.3,21.3,12.5,26.7,0.0,51.9,57.3,60.4,117.2,113.1
New York,99.3,19.8,11.9,26.0,0.0,50.5,55.6,58.9,115.0,111.8
Memphis,106.2,19.2,13.1,28.7,0.0,52.0,55.4,58.8,114.4,110.0
Indiana,102.2,20.7,11.8,21.3,0.0,48.2,56.2,59.4,114.1,111.3
Sacramento,100.6,19.0,11.8,25.4,0.0,51.1,54.8,58.2,113.8,113.5
Phoenix,99.4,20.2,12.8,22.6,0.0,49.0,56.1,59.5,113.7,116.2
Minnesota,99.8,19.0,13.0,25.8,0.0,50.8,55.4,58.8,113.6,108.6
Milwaukee,101.4,18.8,12.2,19.3,0.0,48.9,56.8,59.8,113.6,110.9
LA Lakers,100.1,19.2,12.7,23.3,0.0,49.7,55.7,59.3,113.4,111.4
LA Clippers,99.7,18.5,13.4,24.4,0.0,51.3,55.4,58.9,112.4,107.9
Dallas,101.7,18.4,12.5,23.3,0.0,48.7,54.9,58.3,112.1,113.0
Detroit,102.5,18.7,13.0,26.2,0.0,51.3,54.7,58.0,112.0,110.1
Golden State,101.3,20.3,12.3,27.3,0.0,50.7,53.6,56.8,112.0,108.9
Chicago,105.3,20.1,12.7,22.3,0.0,49.9,55.3,58.5,111.9,112.5
Atlanta,105.2,20.1,13.2,26.3,0.0,50.5,54.6,57.9,111.9,112.6
San Antonio,101.8,20.2,12.3,24.3,0.0,48.6,54.4,57.5,111.7,114.1
Houston,101.6,16.6,11.8,31.7,0.0,53.5,52.3,55.3,111.4,108.0
Miami,98.4,19.4,12.4,22.3,0.0,49.3,54.4,57.6,110.8,110.6
Philadelphia,99.9,17.3,12.3,23.4,0.0,46.6,52.7,56.3,109.0,115.2
Portland,101.6,17.0,13.8,29.2,0.0,50.3,52.1,55.5,108.1,111.9
Utah,102.7,18.1,14.9,26.9,0.0,50.7,53.3,56.8,107.8,117.7
Toronto,102.4,19.8,13.3,27.3,0.0,50.1,52.2,55.3,107.6,111.7
New Orleans,101.8,18.5,12.8,26.3,0.0,48.8,51.9,55.2,107.6,116.6
Orlando,98.6,17.3,12.9,25.3,0.0,49.8,51.0,55.0,106.5,106.8
Brooklyn,99.0,18.6,13.7,24.5,0.0,48.6,51.6,55.2,105.7,112.8
Charlotte,100.3,17.7,13.7,26.5,0.0,50.0,50.3,53.7,104.0,113.8
Washington,103.5,18.0,13.6,22.7,0.0,47.2,51.2,54.6,103.9,116.2
